Loading	V1	V2
A1CF	-0.0140102814331786	0.00100739978141395
A2ML1	0.00777015475709376	-0.0258237986182841
A3GALT2	-0.0104972828611548	0.00321309361898471
A4GALT	0.00824461240956593	-0.00713850063417963
A4GNT	-0.00161054257932621	0.00932487448468725
AAAS	-0.00371660787076278	-0.00067625257893258
AACS	-0.00774191638192954	0.000436621428948451
AADAC	0.0117093892214468	0.0328263911325011
AADACL2	-0.00414159434339106	0.00584600739374612
AADACL3	-0.00313633135593826	0.000513793281783399
AADACL4	-0.000465432443850333	-0.0031267512408747
AADAT	-0.00678445918556422	-0.00577453964820348
AAED1	0.00408066192639236	0.00468897513788216
AAGAB	-0.00179098433502718	-0.000583714474579377
AAK1	0.00054278486973273	-0.00482278094993931
AAMDC	0.00385337523243195	-0.00323323356596935
AAMP	0.00161051660302346	-0.00384559173223534
AANAT	-0.0094715030286392	0.00406547541666203
AAR2	0.00314191887261841	-0.00184019603546264
AARD	0.00470588048421971	0.0123864046418433
AARS	-0.000745839322701227	-0.00239368042742348
AARS2	-0.00610425601968164	-0.0013188098984192
AARSD1	-0.000995290261142896	-0.00316438628269853
AASDH	-0.00150840961799115	-0.00192536109186776
AASDHPPT	-0.00252574130096062	0.000663684609042318
AASS	0.00186926398651877	-0.00152612893456633
AATF	0.000690910560123864	0.00119736050574204
AATK	0.000589690613443144	0.00896060360711212
ABAT	-0.00487312059258453	-0.010848411324319
ABCA1	0.00255292340928807	0.00892727319181815
ABCA10	-0.00952895007001118	0.00844770759733288
ABCA12	-0.010821463920673	0.00626089751892117
ABCA13	0.00196373812159074	0.0245505688583973
ABCA2	-0.00587430760688814	-0.00335845541598397
ABCA3	0.0096574597102454	0.0138083294883177
ABCA4	0.0111592970928943	0.00764964969599662
ABCA5	-0.0147709955189412	-0.000500141978206668
ABCA6	0.00337579736607309	0.0113877612991801
ABCA9	5.66271694534375e-05	0.0100312927657415
ABCB1	0.0104162284160822	-0.00695407984278214
ABCB10	-0.00301846792075285	0.00172141633459737
ABCB11	-0.00440812189916953	0.00175342963507812
ABCB4	-0.00328774903470826	-0.000285566711452747
ABCB5	-2.93704395327953e-05	-0.00223170735121656
ABCB6	-0.00461554172445835	-0.0068801842535939
ABCB8	-0.00272577649474552	-0.000307080772877356
ABCB9	-0.00563112495419755	0.000467184533129147
ABCC1	0.00391331201392171	-0.00243058623225956
ABCC10	-0.00404228122010583	0.00102943555133113
ABCC11	-0.00133525888633055	-0.0216817867240011
ABCC12	-0.00505398036264997	0.00131966440732974
